r ⁇|rõ
r | rõ
s ⁇ n|sẵn
sn|sẵn
s n|sẵn
g ⁇|gõ
g |gõ
theo d i|theo dõi
theo d|theo dõi
d ⁇ i|dõi
d i |dõi
⁇ UNK ⁇|
⁇ unk ⁇|
 ⁇ |
⁇|
cô ta|quota
sích nồ|signal
sích nờ|signal
xích nồ|signal
sích nờ|signal
BASE SLIDE|baseline
bây lai|baseline
base line|baseline
hất bây|hbase
hát bây|hbase
hash base|hbase
hash tag|hashtag
hát tác|hashtag
con em|hose
msql|mssql
co lếch típ|colllective
cô lếch típ|colllective
sờ trắc trờ|structure
sờ trắc chờ|structure
sờ chắc chờ|structure
sờ chắc trờ|structure
chắc trờ|structure
trắc trờ|structure
trắc chờ|structure
chắc chờ|structure
rì trai|retry
ri trai|retry
retryt|retry
mai cờ rô sơ vít|microservice
mi cờ rô sơ vít|microservice
micro service|microservice
mi cờ rô|micro
mai cờ rô|micro
serv vinh|serving
sơ vinh|serving
sơ vít|service
xơ vít|service
tơ mi nết|terminate
cờ lai ần|client
cờ lai ừn|client
pắp lích|public
bắp lích|public
pắp bờ lích|public
bắp bờ lích|public
set ắp|setup
sét ắp|setup
sét tắp|setup
set up|setup
pờ rô tô côn|protocol
bờ rô tô côn|protocol
pô tô côn|protocol
bô tô côn|protocol
proto call|protocol
potocol|protocol
bắt tơ nick|bottleneck
phờ ron en|frontend
phờ răn en|frontend
phăn en|frontend
phon en|frontend
front end|frontend
front en|frontend
phăm thì|front
gíp|gif
iu ét đi|USD
nhân dân tệ|NDT
việt nam đồng|VND
vê kép hát ô|WHO
on lai|online
mê ga bít trên giây|mbps
plug in|plugin
mi li lít|ml
mi li mét|mm
xen ti mét|cm
đề xi mét|dm
ki lô gam|kg
mi li gam|mg
ki lô mét|km
ghi ga héc|GHz
mê ga héc|MHz
tê ta héc|THz
ki lô héc|kHz
pao|pound
ki lô goát|kW
ki lô goát pích|kWp
mê ga goát|MW
gi ga goát|GW
ki lô vôn|kv
độ xê|oC
mê ga bít|mb
mê ga bai|MB
gi ga bai|GB
tê ta bai|TB
phờ rêm guốc|framework
phêm guốc|framework
bắt cát|broadcast
bốt cát|broadcast
bót cát|broadcast
đít chi bút tựt|distributed
đít tri bút tựt|distributed
distribute|distributed
defend|defense
oursourcing|outsourcing
ao suộc sinh|outsourcing
oursource|outsource
pách|pack
ao suộc|outsource
chây sinh|chasing
chây xinh|chasing
trây sinh|chasing
trây xinh|chasing
ca mê ra|camera
ca me ra|camera
cam me ra|camera
cam mê ra|camera
phây búc|facebook
face book|facebook
vi sờ mát|vsmart
gu gồ|google
hu gồ|google
phô tô|photo
phâu tâu|photo
mát tếch|martech
ây pi ai|api
bít tơ phờ lai|bizfly
bít phờ lai|bizfly
bitfly|bizfly
bít ly|bizfly
BIZFY|bizfly
con sít tần si|consistency
con sít tần xi|consistency
cân sít tần si|consistency
cân sít tần xi|consistency
con sít từn si|consistency
con sít từn xi|consistency
cân sít từn si|consistency
cân sít từn xi|consistency
cân sít xi|consistency
cân sít si|consistency
cân sít si|consistency
đít cô vơ ri|discovery
đít cô vờ ri|discovery
đít cô ve ri|discovery
đi cô vơ ri|discovery
đi cô vờ ri|discovery
đi cô ve ri|discovery
đít co vơ|discover 
đít cô vơ|discover
đít cô vờ|discover
đít co vờ|discover
đi co vờ|discover
đi co vơ|discover
đi cô vờ|discover
đi cô vơ|discover
cờ lao|cloud
cờ lâu|close
pre test|free test
phờ ri|free
ai từm|item
ai tầm|item
ai tem|item
viu|view
phâu cớt|focus
pho cớt|focus
i mết|image
in mết|image
em meet|image
ơ cao|account
a cao|account
mo đồ|model
mô đồ|model
sờ pít|speed
phờ rêm|frame
cúc ki|cookie
sai cồ|cycle
sai cô|cycle
xai cô|cycle
xai cồ|cycle
phai nồ|final
phai nờ|final
tai tồ|title
tít tồ|title
en tơ|enter
sờ líp|sleep
sắt đao|shutdown
sút đao|shutdown
rì sờ pon|response
rì sờ bon|response
rì bon|response
respone|response
RESPOND|response
đờ ra ma|drama
đờ ram ma|drama
sờ lai|slide
sờ nai|slide
cờ rách|crack
đi lây|delay
đì lây|delay
em ti|empty
em pờ ti|empty
ơ phem mi ly|afamily
ơ pha mi ly|afamily
ơ pha mơ ly|afamily
a phem mi ly|afamily
a pha mi ly|afamily
a pha mơ ly|afamily
phem mi ly|family
pha mi ly|family
pha mơ ly|family
sít từm|system
sếp tầm|system
se cừn|second
se cần|second
ai ti|IT
i ti|IT
an sơ|answer
an sờ guơ|answer
đì dai|design
đi dai|design
óp dếch|object
sờ cờ rin|screen
ri pót|report
ri pọt|report
rì pót|report
rì pọt|report
report tinh|reporting
ban nơ|banner
ban nờ|banner
ben nơ|banner
ben nờ|banner
prevaner|pre banner
vi en ích pờ rét|vnexpress
vi en ếch pờ rét|vnexpress
ca tám ét|k8s
k s|k8s
sờ pon sơ|sponsor
sờ pon sờ|sponsor
sờ pon xơ|sponsor
sờ pon xờ|sponsor
pho lâu|follow
pha lâu|follow
flow|follow
hát sê vê li|assembly
sim pồ|simple
xim pồ|simple
xim pô|simple
sim pô|simple
sim pờ|simple
xim pờ|simple
sơ ti phi cết|certificate
sơ ti phi kết|certificate
sơ ti kết|certificate
sơ ti cết|certificate
nô ti phi cây sừn|notification
nô ti phi cây sần|notification
nốt ti phi cây sần|notification
nốt ti phi cây sừn|notification
nô ti cây sần|notification
nô ti cây sừn|notification
nốt ti cây sừn|notification
nốt ti cây sần|notification
nô ti phi cây xừn|notification
nô ti phi cây xần|notification
nốt ti phi cây xần|notification
nốt ti phi cây xừn|notification
nô ti cây xần|notification
nô ti cây xừn|notification
nốt ti cây xừn|notification
nốt ti cây xần|notification
notition|notification
nốt ti phai|notify
nô ti phai|notify
nô ti|notice
nốt ti|notice
noti|notice
note|nốt
noti|notice
not ti|notice
hít to ri cờ|historical
hít to ri cồ|historical
hít sờ to ri cồ|historical
hít sờ to ri cờ|historical
hít sờ to ri|history
hít to ri|history
phi nít|finish
no mồ|normal
no mờ|normal
gờ lâu bồ|global
gờ lo bồ|global
sờ tiu đi âu|studio
sờ tu đi âu|studio
sờ tu đi ô|studio
sờ tiu đi ô|studio
xờ tiu đi âu|studio
xờ tu đi âu|studio
xờ tu đi ô|studio
xờ tiu đi ô|studio
cây ô eo|KOL
cây âu eo|KOL
vai lưu|value
va lưu|value
va list|valid
đì têu|detail
đì vai|device
đi vai|device
guin đâu|window
lai xe|like share
lai se|like share
sêm pồ|sample
xêm pồ|sample
xơ vây|survey
sơ vây|survey
lít đờ|leader
nít đơ|leader
lít đơ|leader
nít đờ|leader
đì pờ loi|deploy
đi pờ loi|deploy
đi pờ noi|deploy
đì pờ noi|deploy
sờ cờ rip|script
pờ râu sét|process
pờ râu xét|process
pờ rô sét|process
pờ rô xét|process
pô pét|process
proccess|process
a vơ rết|average
a ve rết|average
sai ừn|science
sai ần|science
xai ần|science
xai ừn|science
ráp|drop
re con|recall
rì côn|recall
lai bờ rơ ri|library
li bờ rơ ri|library
lai bờ ri|library
li bờ ri|library
pờ rô đắc|product
bờ rô đắc|product
pô đắc|product
ao pút|output
in pút|input
đốc tờ|doctor
đóc tờ|doctor
đóc tơ|doctor
đốc tơ|doctor
real time|realtime
ri li ty|reality
ri li ti|reality
ria li ti|reality
ria li ty|reality
đi vơ lốp|develop
đi vờ lốp|develop
đi vi lốp|develop
sờ pe si ồ|special
sờ peo sồ|special
sờ peo xồ|special
sếch sừn|section
sếch sần|section
séc sừn|section
séc sần|section
im pờ ru|improve
pờ rô gờ ram|program
pờ rô gam|program
sắp pót|support
sắp bót|support
li mít tựt|limited
li mít|limit
ắp đết|update
ắp đây|update
pờ rô tếch|protect
rè quai|require
rì quai|require
in đếch|index
sắc sét|success
mơ sin|machine
ma chin|machine
nét guốc|network
networks|network
con tách|contact
cân tách|contact
pờ rai vết|private
pơ phếch|perfect
con tếch|context
con sép|concept
con xép|concept
cân xép|concept
cân sép|concept
con ten|content
con tem|content
ếch pờ lên|explain
ếch pờ len|explain
co rếch|correct
pác nờ síp|partnership
pát nờ síp|partnership
part sít|partnership
pác nờ|partner
pát nờ|partner
sờ to rết|storage
rau tơ|router
rao tơ|router
ri li|release
ria li|release
mi li|release
ri viu|review
đít pờ lây|display
sét tinh|setting
com pe|compare
còm pe|compare
e lát tích sớt|elasticsearch
elastic search|elasticsearch
vơ sừn|version
vơ dừn|version
ất van đựt|advanced
ất van đật|advanced
át van đật|advanced
át van đựt|advanced
ất van|advanced
át van|advanced
cờ lút tơ ring|clustering
class tơ|clustering
classering|clustering
cờ lút tơ|cluster
cờ lút sờ tơ|cluster
con nếch|connect
pờ rô dếch|project
ri pờ lết|replace
ri pờ lây|replace
lam đa|lambda
lan đa|lambda
co lum|column
cô lum|column
colum|column
bách trách kinh|backtracking
bách trách king|backtracking
back tracking|backtracking
trách kinh|tracking
trách king|tracking
hiu rích tíc|heuistic
heuistics|heuistic
metaheuistic|meta heuistic
metaheuistics|meta heuistic
cờ ro lơ|crawler
cờ rao lơ|crawler
cờ ro|crawl
cờ rao|crawl
craw|crawl
com bai|combine
sắp mít|submit
ma na dơ|manager
ma na gơ|manager
mít tinh|meeting
mít| meet
in ven to ri|inventory
in ven to ry|inventory
in ven tơ ry|inventory
in ven tơ ri|inventory
ìn ven tơ ri|inventory
